,Mike Trout,Mookie Betts,Paul Goldschmidt,Freddie Freeman,Manny Machado,Nolan Arenado,Jose Altuve,José Ramírez,Aaron Judge,Bryce Harper,Francisco Lindor,Andrew McCutchen,Marcus Semien,Giancarlo Stanton,Carlos Correa,Christian Yelich,Jason Heyward,Xander Bogaerts,Anthony Rizzo,Alex Bregman,Starling Marte,Matt Chapman,Justin Turner,Carlos Santana,George Springer,Corey Seager,Kevin Kiermaier,Juan Soto,J.T. Realmuto,Trea Turner,Salvador Perez,Anthony Rendon,Matt Olson,Ketel Marte,Trevor Story,J.D. Martinez,José Abreu,DJ LeMahieu,Matt Carpenter,Shohei Ohtani,Marcell Ozuna,Kris Bryant,Willson Contreras,Jean Segura,Ronald Acuña Jr.,Javier Báez,Cody Bellinger,Byron Buxton,Yordan Alvarez,Eugenio Suárez,Dansby Swanson,Brandon Nimmo,Max Muncy,Kyle Tucker,Rafael Devers,Kolten Wong,Ozzie Albies,Fernando Tatis Jr.,Willy Adames,Vladimir Guerrero Jr.,Charlie Blackmon,Jeff McNeil,Austin Riley,Max Kepler,Yasmani Grandal,Pete Alonso,Bryan Reynolds,Andrés Giménez,J.P. Crawford,Yan Gomes,Jorge Polanco,Will Smith,Whit Merrifield,Tommy Edman,Tommy Pham,Ian Happ,Michael Conforto,Bo Bichette,Miguel Rojas,Teoscar Hernández,Jackie Bradley Jr.,Chris Taylor,David Peralta,Kevin Pillar,Gunnar Henderson,Gleyber Torres,Luis Arráez,Brandon Lowe,Julio Rodríguez,Joey Gallo,Kyle Schwarber,Daulton Varsho,Andrew Benintendi,Mark Canha,Ha-Seong Kim,Nico Hoerner,Joc Pederson,Christian Walker,Ryan McMahon,Cedric Mullins,Gary Sánchez,Justin Verlander,Clayton Kershaw,Max Scherzer,Chris Sale,Gerrit Cole,Jacob deGrom,Johnny Cueto,Aaron Nola,Zack Wheeler,Yu Darvish,Sonny Gray,Jose Quintana,Lance Lynn,Luis Castillo,Kevin Gausman,Blake Snell,Max Fried,Kyle Hendricks,Craig Kimbrel,Marcus Stroman,Kenley Jansen,David Robertson,Nathan Eovaldi,Aroldis Chapman,Sandy Alcántara,Danny Duffy,Julio Teheran,Alex Cobb,Zac Gallen,Charlie Morton,Carlos Carrasco,Dallas Keuchel,Eduardo Rodríguez,Wade Miley,Kyle Freeland,Robbie Ray,Shane Bieber,Mike Clevinger,Raisel Iglesias,Carlos Rodón,Logan Webb,Michael Wacha,Corbin Burnes,Rich Hill,Brandon Woodruff,Chris Bassitt,Dylan Cease,Germán Márquez,Seth Lugo,José Berríos,Kyle Gibson,Tyler Anderson,Jon Gray,Framber Valdez,Sean Manaea,Joe Musgrove,Adam Ottavino,Martín Pérez,Jameson Taillon,Pablo López,Alex Wood,Patrick Corbin,James Paxton,Jake Odorizzi,Merrill Kelly,Luis Severino,Zach Eflin,Ranger Suárez,Jack Flaherty,Michael Fulmer,Drew Smyly,Josh Hader,Drew Pomeranz,Blake Treinen,Lucas Giolito,Reynaldo López,Walker Buehler,Emmanuel Clase,Tarik Skubal,Jordan Montgomery,Lance McCullers Jr.,Edwin Díaz,Taijuan Walker,Anthony DeSclafani,Michael Lorenzen,John Means,Miles Mikolas,Nick Pivetta,Héctor Neris,Ryan Pressly,Logan Gilbert,Kendall Graveman,Michael King,Matthew Boyd,Tyler Chatwood,Tyler Mahle,Steven Matz,Freddy Peralta,Nestor Cortes,Liam Hendriks,Tanner Houck
0,Angels,Dodgers,Cardinals,Braves,Dodgers,Cardinals,Astros,Indians,Yankees,Phillies,Mets,Phillies,Rangers,Marlins,Astros,Marlins,Braves,Padres,Cubs,Astros,Marlins,Giants,Mets,Phillies,Astros,Dodgers,Dodgers,Nationals,Marlins,Phillies,Royals,Nationals,Braves,Diamondbacks,Rockies,Mets,Astros,Cubs,Cardinals,Dodgers,Braves,Cubs,Cubs,Marlins,Braves,Mets,Cubs,Twins,Astros,Reds,Braves,Mets,Dodgers,Astros,Red Sox,Brewers,Braves,Padres,Brewers,Blue Jays,Rockies,Mets,Braves,Twins,Brewers,Mets,Pirates,Mets,Phillies,Nationals,Mariners,Dodgers,Braves,Cardinals,Mets,Cubs,Mets,Blue Jays,Marlins,Dodgers,Brewers,Dodgers,Diamondbacks,Braves,Orioles,Yankees,Marlins,Rays,Mariners,Nationals,Phillies,Diamondbacks,Royals,Mets,Padres,Cubs,Braves,Diamondbacks,Rockies,Orioles,Mets,Mets,Dodgers,Mets,Braves,Pirates,Mets,Marlins,Phillies,Mets,Cubs,Reds,Mets,Cardinals,Reds,Braves,Padres,Braves,Cubs,Braves,Mets,Braves,Marlins,Marlins,Cubs,Marlins,Royals,Braves,Giants,Marlins,Braves,Mets,Braves,Diamondbacks,Cubs,Rockies,Diamondbacks,Indians,Padres,Braves,Giants,Giants,Mets,Brewers,Mets,Brewers,Mets,Padres,Rockies,Mets,Twins,Phillies,Pirates,Rockies,Astros,Mets,Pirates,Mets,Pirates,Cubs,Marlins,Braves,Nationals,Dodgers,Braves,Diamondbacks,Mets,Phillies,Phillies,Cardinals,Cubs,Braves,Brewers,Brewers,Nationals,Nationals,Braves,Dodgers,Rangers,Tigers,Cardinals,Astros,Mets,Mets,Marlins,Phillies,Orioles,Cardinals,Phillies,Phillies,Astros,Mariners,Mariners,Padres,Mariners,Cubs,Reds,Mets,Brewers,Mariners,Athletics,Red Sox
1,MVP,Red Sox,Diamondbacks,Dodgers,Padres,Rockies,MVP,6x All-Star,MVP,Nationals,Indians,Brewers,Athletics,Yankees,Twins,Brewers,Cubs,Red Sox,Padres,2x All-Star,Mets,Athletics,Dodgers,Brewers,Blue Jays,Rangers,Blue Jays,Padres,Phillies,Nationals,9x All-Star,Angels,Athletics,Mariners,Red Sox,Diamondbacks,White Sox,Rockies,Padres,Angels,Marlins,Rockies,Cardinals,Phillies,MVP,Cubs,Dodgers,1x All-Star,Rookie of the Year,Diamondbacks,Cubs,,Athletics,3x All-Star,3x All-Star,Cardinals,3x All-Star,2x All-Star,Rays,4x All-Star,4x All-Star,2x All-Star,2x All-Star,,Pirates,Rookie of the Year,2x All-Star,Indians,Mariners,Cubs,Twins,2x All-Star,Phillies,Dodgers,Reds,1x All-Star,Giants,2x All-Star,Dodgers,Mariners,Royals,Mariners,Dodgers,Mets,Rookie of the Year,2x All-Star,Padres,1x All-Star,Rookie of the Year,Dodgers,Nationals,Blue Jays,White Sox,Brewers,Gold Glove,Gold Glove,Cubs,Orioles,1x All-Star,1x All-Star,Brewers,Astros,MVP,Nationals,White Sox,Astros,Rangers,Reds,1x All-Star,Phillies,Dodgers,Cardinals,Cubs,Dodgers,Mariners,Reds,Giants,2x All-Star,2016 World Series,Phillies,Cubs,Dodgers,Mets,Dodgers,Reds,Cardinals,2015 World Series,Mets,Angels,Diamondbacks,Phillies,Indians,Brewers,Tigers,Reds,,Giants,Cy Young,White Sox,Reds,White Sox,1x All-Star,Cardinals,Orioles,Cubs,2x All-Star,Athletics,White Sox,1x All-Star,Padres,Blue Jays,Cardinals,Rockies,Rangers,2x All-Star,Padres,Padres,Cardinals,Padres,Pirates,Twins,Reds,Diamondbacks,Mariners,Astros,,Yankees,Rays,1x All-Star,Dodgers,Tigers,Phillies,Padres,Rockies,Dodgers,Angels,Nationals,2x All-Star,Indians,Cy Young,Diamondbacks,1x All-Star,Mariners,Phillies,Reds,Reds,1x All-Star,Padres,Red Sox,Cubs,Twins,1x All-Star,Astros,Yankees,Tigers,Rockies,Rangers,Cardinals,1x All-Star,Yankees,Royals,1x All-Star
2,Rookie of the Year,MVP,MVP,MVP,Orioles,8x All-Star,9x All-Star,5x Silver Slugger,Rookie of the Year,MVP,4x All-Star,Pirates,White Sox,MVP,Rookie of the Year,MVP,Cardinals,4x All-Star,Yankees,2x World Series,Pirates,Blue Jays,Mariners,Pirates,4x All-Star,Rookie of the Year,Rays,Yankees,3x All-Star,Dodgers,2015 World Series,1x All-Star,2x All-Star,2x All-Star,2x All-Star,Dodgers,MVP,Yankees,Yankees,MVP,Cardinals,Giants,3x All-Star,Brewers,Rookie of the Year,Tigers,MVP,Gold Glove,3x All-Star,Mariners,2x All-Star,,2x All-Star,2022 World Series,2018 World Series,Dodgers,2021 World Series,Gold Glove,,HR Derby Champ,2x Silver Slugger,Silver Slugger,2021 World Series,,Dodgers,4x All-Star,,1x All-Star,Gold Glove,Athletics,1x All-Star,2x World Series,Royals,2024 World Series,Cardinals,3x Gold Glove,1x All-Star,,2024 World Series,Astros,Red Sox,1x All-Star,Padres,Rockies,1x All-Star,,Twins,,2x All-Star,Rangers,Cubs,Gold Glove,Red Sox,Giants,,,Diamondbacks,3x Gold Glove,,Silver Slugger,Padres,Tigers,3x Cy Young,Diamondbacks,Red Sox,Yankees,2x Cy Young,Giants,,2x All-Star,Padres,Athletics,Pirates,Rangers,3x All-Star,Giants,Rays,2021 World Series,ERA Title,Cubs,Yankees,Red Sox,Phillies,Rangers,Pirates,Cy Young,,Brewers,Rays,1x All-Star,Pirates,Clemente,Diamondbacks,Red Sox,Brewers,,Mariners,Triple Crown,Indians,Angels,Yankees,,Padres,Cy Young,Pirates,,White Sox,,Silver Slugger,Royals,2x All-Star,Rangers,Dodgers,2023 World Series,2022 World Series,Giants,Astros,Rockies,Rangers,Yankees,1x All-Star,Dodgers,2x All-Star,Red Sox,Royals,,2x All-Star,Orioles,,Tigers,Twins,Cubs,Astros,Padres,Athletics,White Sox,Angels,2x World Series,3x All-Star,Triple Crown,Rangers,2x World Series,2x All-Star,Diamondbacks,Giants,Rangers,,Rangers,,Astros,2x All-Star,,Athletics,,Blue Jays,Giants,Twins,Blue Jays,,Orioles,Twins,
3,11x All-Star,8x All-Star,7x All-Star,8x All-Star,6x All-Star,10x Gold Glove,2x World Series,,6x All-Star,Rookie of the Year,2x Gold Glove,Giants,Blue Jays,5x All-Star,3x All-Star,3x All-Star,Dodgers,2x World Series,3x All-Star,Gold Glove,Diamondbacks,1x All-Star,Red Sox,Mariners,2017 World Series,5x All-Star,2024 World Series,4x All-Star,2x Gold Glove,3x All-Star,5x Gold Glove,2019 World Series,2x Gold Glove,Silver Slugger,2x Silver Slugger,Astros,Rookie of the Year,3x All-Star,3x All-Star,Rookie of the Year,3x All-Star,MVP,2016 World Series,Diamondbacks,4x All-Star,2x All-Star,Rookie of the Year,Platinum Glove,2022 World Series,Tigers,2021 World Series,,2x World Series,Gold Glove,2x Silver Slugger,Mariners,2x Silver Slugger,2x Silver Slugger,,Gold Glove,Batting Title,Batting Title,2x Silver Slugger,,Padres,2x HR Derby Champ,,3x Gold Glove,,Indians,,,Blue Jays,Gold Glove,Diamondbacks,,,,,Blue Jays,Blue Jays,2x World Series,Rays,Dodgers,Silver Slugger,,3x All-Star,,2x Silver Slugger,Twins,Red Sox,,Yankees,Athletics,,,Dodgers,,,,Twins,MVP,Triple Crown,Dodgers,Cy Young,Cy Young,Rookie of the Year,Angels,,Gold Glove,Rangers,Twins,Cardinals,Twins,,Blue Jays,2x Cy Young,3x Gold Glove,,Dodgers,Blue Jays,4x All-Star,Cubs,Red Sox,Rangers,2x All-Star,,Angels,Orioles,,Astros,,Rangers,2018 World Series,Diamondbacks,,Tigers,2x All-Star,,,2x All-Star,,Royals,4x All-Star,Dodgers,,Blue Jays,,,1x All-Star,Gold Glove,Twins,Giants,,,Athletics,1x All-Star,Red Sox,Twins,,,Giants,2019 World Series,Yankees,Twins,,,,,Orioles,Rookie of the Year,Giants,5x All-Star,Giants,1x All-Star,1x All-Star,White Sox,,2x Rivera Rel,1x All-Star,Yankees,,Hoffman Rel,Mariners,,Angels,,2x All-Star,,2022 World Series,2022 World Series,,White Sox,,,Angels,,,,1x All-Star,White Sox,
4,9x Silver Slugger,3x World Series,4x Gold Glove,2x World Series,2x Gold Glove,5x Silver Slugger,Gold Glove,,HR Derby Champ,8x All-Star,4x Silver Slugger,Yankees,3x All-Star,HR Derby Champ,2017 World Series,Gold Glove,Astros,5x Silver Slugger,2016 World Series,Silver Slugger,Athletics,5x Gold Glove,Blue Jays,Royals,2x Silver Slugger,2x World Series,4x Gold Glove,HR Derby Champ,3x Silver Slugger,2019 World Series,5x Silver Slugger,2x Silver Slugger,Silver Slugger,Postseason Series MVP,,Tigers,3x All-Star,4x Gold Glove,Silver Slugger,4x All-Star,Gold Glove,Rookie of the Year,,Mariners,3x Silver Slugger,2016 World Series,2x All-Star,Wilson Overall Def Player,Silver Slugger,1x All-Star,2x Gold Glove,,,Silver Slugger,,2x Gold Glove,,Platinum Glove,,2x Silver Slugger,,,,,White Sox,,,Platinum Glove,,Blue Jays,,,3x All-Star,Postseason Series MVP,Padres,,,,,2x All-Star,1x All-Star,Postseason Series MVP,Gold Glove,Giants,,,2x Silver Slugger,,,Yankees,2x All-Star,,1x All-Star,Tigers,,,Giants,,,,Yankees,3x Cy Young,10x All-Star,Rangers,Triple Crown,6x All-Star,4x All-Star,Royals,,,5x All-Star,Yankees,Giants,White Sox,,Orioles,1x All-Star,Silver Slugger,,Padres,2x All-Star,2020 World Series,Rangers,Yankees,Royals,,,Tigers,1x All-Star,,Rays,,Astros,,Mariners,,Blue Jays,Gold Glove,,,,,Red Sox,ERA Title,Padres,,1x All-Star,,,Gold Glove,,Orioles,Mariners,,,,2017 World Series,Yankees,Red Sox,,,Athletics,,,Rays,,,,,2024 World Series,1x All-Star,Rangers,3x Hoffman Rel,Athletics,2x World Series,,1x All-Star,,,ERA Title,2023 World Series,,Rivera Rel,Blue Jays,,Royals,,,,,,,Blue Jays,,,Blue Jays,,,,,Blue Jays,
5,AS MVP,6x Gold Glove,5x Silver Slugger,Gold Glove,2x Silver Slugger,6x Platinum Glove,7x Silver Slugger,,4x Silver Slugger,HR Derby Champ,Platinum Glove,MVP,2023 World Series,2x Silver Slugger,Gold Glove,3x Silver Slugger,1x All-Star,,4x Gold Glove,AS MVP,2x All-Star,2x Platinum Glove,Orioles,Twins,Postseason Series MVP,3x Silver Slugger,Platinum Glove,2019 World Series,,Silver Slugger,Postseason Series MVP,,,,,Red Sox,3x Silver Slugger,2x Silver Slugger,,2024 World Series,2x Silver Slugger,4x All-Star,,Angels,ML PoY,Gold Glove,2020 World Series,,Postseason Series MVP,,,,,,,,,,,AS MVP,,,,,2x All-Star,,,,,1x All-Star,,,,,Royals,,,,,HR Derby Champ,2018 World Series,,Silver Slugger,Angels,,,3x Batting Title,,,2x All-Star,2016 World Series,,2018 World Series,,,,2x All-Star,,,,2x All-Star,Rookie of the Year,2020 World Series,Tigers,8x All-Star,2x ERA Title,ERA Title,White Sox,,,,3x All-Star,Angels,Yankees,,2x All-Star,2x ERA Title,,,White Sox,Gold Glove,2x Hoffman Rel,White Sox,Rays,Yankees,,,2x All-Star,,,2x All-Star,,Twins,,Astros,,Cy Young,ERA Title,,,,,Rays,,Athletics,,,,,,,1x All-Star,Angels,,,,,,1x All-Star,,,1x All-Star,,,1x All-Star,,,,,,,Tigers,,Red Sox,,,,,,,,,,1x All-Star,,Tigers,,,,,,,,,,,,,,,3x All-Star,
6,ML PoY,7x Silver Slugger,,3x Silver Slugger,Platinum Glove,,3x Batting Title,,ML PoY,4x Silver Slugger,,5x All-Star,Gold Glove,Postseason Series MVP,Platinum Glove,2x Batting Title,2016 World Series,,Silver Slugger,,2x Gold Glove,Wilson Overall Def Player,2x All-Star,Indians,,Postseason Series MVP,,5x Silver Slugger,,Batting Title,Clemente,,,,,6x All-Star,ML PoY,2x Batting Title,,3x Silver Slugger,,2016 World Series,,2x All-Star,,Silver Slugger,Gold Glove,,,,,,,,,,,,,,,,,,,,,,,2019 World Series,,,,,White Sox,,,,,2024 World Series,Gold Glove,,,White Sox,,,,,,2x Gold Glove,Silver Slugger,,Gold Glove,,,,2x World Series,,,,Silver Slugger,Triple Crown,Gold Glove,3x Cy Young,2018 World Series,,,2x All-Star,,,,,White Sox,2x All-Star,,,,,,Red Sox,,,Yankees,2x All-Star,7x All-Star,,,,,,2x World Series,,White Sox,,Red Sox,,1x All-Star,AS MVP,,,,,1x All-Star,,Angels,,,,,,,,2x All-Star,,,,,,2023 World Series,,,2020 World Series,,,,,,,,,,Rays,,1x All-Star,,,,,,,,,,,,1x All-Star,,,,,,,,,,,,,,,2x Rivera Rel,
7,Wilson Overall Def Player,Batting Title,,Postseason Series MVP,,,Postseason Series MVP,,Clemente,Postseason Series MVP,,Gold Glove,2x Silver Slugger,AS MVP,,,5x Gold Glove,,Platinum Glove,,,,2020 World Series,1x All-Star,,Postseason Series MVP,,Batting Title,,,,,,,,2018 World Series,,,,2x ML PoY,,,,,,Postseason Series MVP,2x Silver Slugger,,,,,,,,,,,,,,,,,,,,,,,Silver Slugger,,,,,Red Sox,,,,,3x Silver Slugger,Postseason Series MVP,,,Red Sox,,,,,,,,,,,,,,,,,,9x All-Star,5x ERA Title,8x All-Star,Gold Glove,,,2015 World Series,,,,,1x All-Star,2011 World Series,,,,,,Orioles,,,Rays,2x World Series,2x World Series,,,,,,,,Cy Young,,Orioles,,ERA Title,,,,,,Postseason Series MVP,,Twins,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 World Series,,2018 World Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,ML PoY,,,,,2x ML PoY,,,,,4x Silver Slugger,,,,,Wilson Overall Def Player,,Clemente,,,,Postseason Series MVP,Gold Glove,,,,,,,,,,,,3x Silver Slugger,,,,,,,,,,,Postseason Series MVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,,,,,,Blue Jays,,,,,,,,,,,,,,,,,,2x World Series,ML PoY,2x World Series,ERA Title,,,,,,,,,,,,,,,Rookie of the Year,,,1x All-Star,,Rivera Rel,,,,,,,,2x All-Star,,1x All-Star,,,,,,,,,,Indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Wilson Overall Def Player,,,,,,,,,,Clemente,,,,,,,,,,,Clemente,Silver Slugger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2x ERA Title,Clemente,,,,,,,,,,,,,,,,,9x All-Star,,,2009 World Series,,,,,,,,,,2017 World Series,,,,,,,,,,,,Red Sox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Postseason Series MVP,,,,,,,,,,,,,,,,,,2018 World Series,,,,,,,,,,,,,5x Gold Glove,,,,,,,,,,,,Yankees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ML PoY,,,,,,,,,,,,,,,,,,Rolaids Relief,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoffman Rel,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,